Id|Name|Department|Aisle
1|Chocolate Sandwich Cookies|snacks|cookies cakes
2|All-Seasons Salt|pantry|spices seasonings
3|Robust Golden Unsweetened Oolong Tea|beverages|tea
4|Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce|frozen|frozen meals
5|Green Chile Anytime Sauce|pantry|marinades meat preparation
6|Dry Nose Oil|personal care|cold flu allergy
7|Pure Coconut Water With Orange|beverages|juice nectars
8|Cut Russet Potatoes Steam N' Mash|frozen|frozen produce
9|Light Strawberry Blueberry Yogurt|dairy eggs|yogurt
10|Sparkling Orange Juice & Prickly Pear Beverage|beverages|water seltzer sparkling water
11|Peach Mango Juice|beverages|refrigerated
12|Chocolate Fudge Layer Cake|frozen|frozen dessert
13|Saline Nasal Mist|personal care|cold flu allergy
14|Fresh Scent Dishwasher Cleaner|household|dish detergents
15|Overnight Diapers Size 6|babies|diapers wipes
16|Mint Chocolate Flavored Syrup|snacks|ice cream toppings
17|Rendered Duck Fat|meat seafood|poultry counter
18|Pizza for One Suprema  Frozen Pizza|frozen|frozen pizza
19|Gluten Free Quinoa Three Cheese & Mushroom Blend|dry goods pasta|grains rice dried goods
20|Pomegranate Cranberry & Aloe Vera Enrich Drink|beverages|juice nectars
21|Small & Medium Dental Dog Treats|pets|dog food care
22|Fresh Breath Oral Rinse Mild Mint|personal care|oral hygiene
23|Organic Turkey Burgers|meat seafood|packaged poultry
24|Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants|personal care|vitamins supplements
25|Salted Caramel Lean Protein & Fiber Bar|snacks|energy granola bars
26|Fancy Feast Trout Feast Flaked Wet Cat Food|pets|cat food care
27|Complete Spring Water Foaming Antibacterial Hand Wash|personal care|body lotions soap
28|Wheat Chex Cereal|breakfast|cereal
29|Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn|canned goods|canned jarred vegetables
30|Three Cheese Ziti, Marinara with Meatballs|frozen|frozen meals
31|White Pearl Onions|produce|packaged vegetables fruits
32|Nacho Cheese White Bean Chips|snacks|chips pretzels
33|Organic Spaghetti Style Pasta|dry goods pasta|dry pasta
34|Peanut Butter Cereal|breakfast|cereal
35|Italian Herb Porcini Mushrooms Chicken Sausage|meat seafood|hot dogs bacon sausage
36|Traditional Lasagna with Meat Sauce Savory Italian Recipes|frozen|frozen meals
37|Noodle Soup Mix With Chicken Broth|canned goods|soup broth bouillon
38|Ultra Antibacterial Dish Liquid|missing|missing
39|Daily Tangerine Citrus Flavored Beverage|beverages|energy sports drinks
40|Beef Hot Links Beef Smoked Sausage With Chile Peppers|meat seafood|hot dogs bacon sausage
41|Organic Sourdough Einkorn Crackers Rosemary|snacks|crackers
42|Biotin 1000 mcg|personal care|vitamins supplements
43|Organic Clementines|produce|packaged vegetables fruits
44|Sparkling Raspberry Seltzer|beverages|water seltzer sparkling water
45|European Cucumber|produce|fresh vegetables
46|Raisin Cinnamon Bagels 5 count|frozen|frozen breads doughs
47|Onion Flavor Organic Roasted Seaweed Snack|international|asian foods
48|School Glue, Washable, No Run|household|more household
49|Vegetarian Grain Meat Sausages Italian - 4 CT|deli|tofu meat alternatives
50|Pumpkin Muffin Mix|pantry|doughs gelatins bake mixes
51|Sa Extra Hold Mousse Hair Styling|personal care|hair care
52|Mirabelle Brut Rose|alcohol|specialty wines champagnes
53|Whole Leaf Pure Aloe With Lemon Juice|beverages|juice nectars
54|24/7 Performance Cat Litter|pets|cat food care
55|Lasting Color Shampoo|personal care|hair care
56|Healthy Pop Butter Popcorn|snacks|popcorn jerky
57|Flat Toothpicks|household|plates bowls cups flatware
58|Whole Wheat Tortillas|bakery|tortillas flat bread
59|Medium Taqueria Style Chipotle Salsa|snacks|fruit vegetable snacks
60|Cheesy Creations Roasted Garlic Parmesan Sauce|dry goods pasta|pasta sauce
61|Ramen Noodles Soup Chicken Mushroom Flavor|canned goods|soup broth bouillon
62|Premium Deli Oven Roasted Turkey Breast|deli|lunch meat
63|Banana & Sweet Potato Organic Teething Wafers|babies|baby food formula
64|Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner|babies|baby food formula
65|Organic Red Wine & Olive Oil Dressing Organic|pantry|salad dressing toppings
66|European Style Spring Mix|produce|packaged vegetables fruits
67|Jelly, Blackberry|pantry|spreads
68|Pancake Mix, Buttermilk|breakfast|hot cereal pancake mixes
69|Vanilla with Almond Milk Iced Coffee|beverages|coffee
70|Sweet Cooking Rice Seasoning|international|asian foods
71|Ultra 7 Inch Polypropylene Traditional Plates|household|plates bowls cups flatware
72|Organic Honeycrisp Apples|missing|missing
73|Jasmine Tea Unfiltered Ginger Ale|beverages|soft drinks
74|Artisan Chick'n & Apple Sausage|deli|tofu meat alternatives
75|Hemp Protein, Organic|personal care|protein meal replacements
76|Spinach Basil Garlic Linguini|dry goods pasta|fresh pasta
77|Coconut Chocolate Chip Energy Bar|snacks|energy granola bars
78|Nutter Butter Cookie Bites Go-Pak|snacks|cookies cakes
79|Wild Albacore Tuna No Salt Added|canned goods|canned meat seafood
80|French  Tarragon Wine Vinegar|pantry|oils vinegars
81|Blakes Chicken Parmesan Dinner|frozen|frozen meals
82|All Natural 100% Apple Juice|beverages|juice nectars
83|100% Whole Wheat Pita Bread|bakery|tortillas flat bread
84|Lamb Shank|meat seafood|packaged meat
85|Soppressata Piccante|deli|lunch meat
86|Camilia, Single Liquid Doses|other|other
87|Classics Earl Grey Tea|beverages|tea
88|Probiotics High Potency Capsules|personal care|vitamins supplements
89|Yogurt Fruit Dip Sliced Apples|produce|packaged vegetables fruits
90|Smorz Cereal|breakfast|cereal
91|Kind Prenatal Once Daily|personal care|vitamins supplements
92|Meat In The Middle Large Rawhide Chews|pets|dog food care
93|Uncured Cracked Pepper Beef|snacks|popcorn jerky
94|Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups|babies|baby food formula
95|Organic Rice Vinegar|international|asian foods
96|Sprinklez Confetti Fun Organic Toppings|pantry|baking supplies decor
97|Organic Chamomile Lemon Tea|beverages|tea
98|2% Yellow American Cheese|dairy eggs|specialty cheeses
99|Local Living Butter Lettuce|produce|fresh vegetables
100|Peanut Butter & Strawberry Jam Sandwich|frozen|frozen meals
101|Bread, Healthy Whole Grain|bakery|bread
102|Danish Butter Cookies|snacks|cookies cakes
103|Sprouted Kale Cracker|snacks|crackers
104|High Fiber Tomato Basil Soup|canned goods|soup broth bouillon
105|Easy Grab 9\""x13\"" Oblong Glass Bakeware|household|kitchen supplies
106|Organic Yummy Tummy Maple & Brown Sugar Instant Oatmeal|babies|baby food formula
107|Mild Salsa Divino|pantry|preserved dips spreads
108|Organic Sprouted Barley Bread|bakery|bread
109|Grape Leaf Hummus Wrap|deli|prepared meals
110|Uncured Turkey Bologna|missing|missing
111|Fabric Softener, Geranium Scent|household|laundry
112|Hot Tomatillo Salsa|pantry|preserved dips spreads
113|Infant's Blend Probiotic|personal care|digestion
114|Light Savory Beef Barley Vegetable Soup|canned goods|soup broth bouillon
115|Scooby-Doo! Fruit Flavored Snacks|snacks|fruit vegetable snacks
116|English Muffins|bakery|breakfast bakery
117|Petit Suisse Fruit|dairy eggs|specialty cheeses
118|Ground Turkey Chub|frozen|frozen meat seafood
119|Chardonnay Paso Robles|alcohol|white wines
120|Cauliflower Florettes|produce|packaged vegetables fruits
121|Sharp Cheddar|dairy eggs|packaged cheese
122|Pomegranate Molasses|pantry|honeys syrups nectars
123|Sherry Reserve Vinegar|pantry|oils vinegars
124|Sun Cups Dark Chocolate|snacks|candy chocolate
125|Herbal Armor DEET-Free Natural Insect Repellant|personal care|first aid
126|Hot & Spicy Chicken Flavor Ramen Noodles|dry goods pasta|instant foods
127|Marscapone|dairy eggs|other creams cheeses
128|Organic Wild Blueberries|frozen|frozen produce
129|Traditional Chicken & Orzo with Lemon Soup|canned goods|soup broth bouillon
130|Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack|frozen|ice cream ice
131|Brioche Bachelor Loaf|bakery|breakfast bakery
132|Yogurt Strawberry Pomegranate|dairy eggs|yogurt
133|Purifying Daily Detox Scrub|personal care|skin care
134|Stain Release Boost In-Wash Stain Remover Pacs|household|laundry
135|Dark Chocolate Ice Cream Topping|snacks|ice cream toppings
136|Simple|snacks|candy chocolate
137|Very Vanilla Soymilk|dairy eggs|soy lactosefree
138|Olli Napoli Salami|deli|lunch meat
139|Zita Cut, No. 118|dry goods pasta|dry pasta
140|Chips Onion Chipotle Garlic|snacks|chips pretzels
141|Restaurant Style Organic Chia & Quinoa Tortilla Chips|snacks|chips pretzels
142|Arugula Salad|produce|packaged vegetables fruits
143|Organic Lemons|produce|fresh fruits
144|Coarse Grind Garlic Powder & Parsley Blend|pantry|spices seasonings
145|Traditional Water Crackers|snacks|crackers
146|Anti Diarrheal Caplets|personal care|digestion
147|Organic Ranch Veggie Dip|deli|fresh dips tapenades
148|Nectarines|produce|fresh fruits
149|Wild Blueberry All Natural Fruit Spread|pantry|spreads
150|Brut Rosé|alcohol|specialty wines champagnes
151|Aromatherapaes Stress Reducing Lavender & Chamomile Spa Bath|personal care|beauty
152|3 in 1 Soap for Every Man, Cucumber & Lemon|personal care|soap
